team,rating,acs,adr,kast,hs_percent,fk,fd,fk_fd_diff
Bilibili Gaming,0.8,173.9,112.46666666666667,63.03333333333333,26.7,2.1333333333333333,3.066666666666667,-0.9333333333333333
DRX,0.9974117647058823,198.6,128.88235294117646,73.16470588235295,27.741176470588236,2.7294117647058824,2.8705882352941177,-0.1411764705882353
EDward Gaming,1.0764285714285713,205.9142857142857,133.44285714285715,74.00714285714285,28.95,3.557142857142857,2.857142857142857,0.7
FNATIC,1.0445,199.48,132.09,72.39,27.31,3.06,2.82,0.24
FUT Esports,0.914,188.7,123.13333333333334,67.86666666666666,26.633333333333333,3.066666666666667,2.8,0.26666666666666666
FunPlus Phoenix,0.896,181.85714285714286,119.37142857142857,66.94285714285714,28.314285714285713,3.3714285714285714,3.2,0.17142857142857143
G2 Esports,0.934923076923077,191.55384615384617,125.38461538461539,67.66153846153846,25.984615384615385,3.046153846153846,3.1384615384615384,-0.09230769230769231
Gen.G,0.9702,194.84,127.62,72.0,28.62,3.16,2.96,0.2
KRÜ Esports,1.0332727272727273,201.92727272727274,134.38181818181818,72.61818181818182,29.12727272727273,3.018181818181818,2.6545454545454548,0.36363636363636365
LEVIATÁN,1.00176,198.48,132.024,71.432,29.4,3.344,3.152,0.192
Paper Rex,0.9594,197.9,130.8,71.22,29.08,2.24,3.36,-1.12
Sentinels,1.0456666666666667,198.775,129.675,73.49166666666666,24.316666666666666,2.95,3.066666666666667,-0.11666666666666667
TALON,0.836,185.23333333333332,119.7,68.03333333333333,30.066666666666666,2.6666666666666665,3.0,-0.3333333333333333
Team Heretics,1.0161212121212122,196.16969696969696,129.29090909090908,72.75757575757575,34.72727272727273,3.224242424242424,3.4545454545454546,-0.23030303030303031
Team Vitality,1.0170000000000001,200.14,132.22,69.9,24.52,2.72,3.32,-0.6
Trace Esports,0.9417142857142857,188.8,124.35714285714286,69.41428571428571,26.742857142857144,3.0,2.942857142857143,0.05714285714285714
